business_name,website,phone,has_website,booking_platform,owner_first_name,email,notes,city
Gem Salon Spa,https://phorest.com/book/salons/gemsalonspa?rwg_token=AFd1xnGiUfyWg7MsLSAUJ0yuehTmqhqCEboeLT0msusIGB_h0tWig_mApuyRsEQmoRJDLdG8MzcreUalPivbBkMzzmep8b8C-A==,(651) 222-3839,true,Phorest,,hello@gemsalonspa.com,Booking only - no custom site,
HAUS Salon,https://dashboard.boulevard.io/booking/businesses/00d1b2a0-7302-4c69-a9fb-dc6835640604/widget?location_wl=924c1b0f-9f13-4bf9-80cf-4c09019c1458&rwg_token=AFd1xnHubWX58rdPorjOlHjfX0xmszRs7DaqXbvaK7gcDIss7n-bphjcKIBSL5M81_Cp-xd34kAYanNZdOUMPdjJQV2spCFwnA==,(612) 827-4287,true,Boulevard,,,Booking only,
Meraki Hair Lounge,https://app.squareup.com/appointments/book/souhou7flqkfu1/LKWHDYRKV69DC/start?rwg_token=AFd1xnEn6LD3tMZX3WdobCx2KipD3XekmlurQfJF9-HbrSwA2vD-hjlX5xg0HbaqHLm-v1O4yiNpeqxTIJcbepwUbLxsWkULGQ==,(833) 255-0346,true,Square,,,Booking only,
Moxie Hair Salon,https://online.rosysalonsoftware.com/about/50020,(651) 251-6820,true,Rosy,,owners@moxiesalon.com,Booking only,
Petite Salon - St Paul,https://dashboard.boulevard.io/booking/businesses/9d8db12f-b50e-4f1c-a8e8-117f551667f8/widget?location_wl=9807af3b-3ab6-4fc0-b571-c797b94d14d9&rwg_token=AFd1xnHy7F7HYH6ZRI0CFrpUoMry_hyudxrYFKnxB_pj787O2Zh8VqwptRZ9rguG3qwJWN7Gu4-l6w9XaDdgA7L2w8lQD3e2aA==,(651) 699-4959,true,Boulevard,,,Booking only,
The Beauty Lounge Minneapolis,https://dashboard.boulevard.io/booking/businesses/007ca31b-a36a-43a3-bc3c-c76d02480a38/widget#/visit-type,(612) 227-9363,true,Boulevard,,,Booking only,
The Beauty Room,https://www.vagaro.com/googlemap/U2FsdGVkX18qjO4o~UNtYgJHCtF8Apa8wa1PdCvmZ0U=/services?rwg_token=AFd1xnGmRmBeMlJRJrYUsi2EQXs-no_iDPiOtZ7mUdAWIN8avX2S4_gLZdQT2FYLQg-Q45mzuPYSg3hxtXFcJoRkcnIsNW1YRQ==,(612) 724-4111,true,Vagaro,,,Booking only,
BRADLEY DOUGLAS SALON SPA,https://bradleydouglassalonspa.com/#book-now,(612) 339-2222,true,,,info@bradleydouglassalonspa.com,,Minneapolis
Northeast Hair and Co.,http://www.northeasthairandco.com/,(612) 807-0170,true,,,info@northeasthairandco.com,,Minneapolis
Hare and the Hound Salon,https://app.squareup.com/appointments/book/473cd613-1a30-4028-af18-bce910df07f6/9QG5XRA53CKEP/start?rwg_token=AFd1xnGyObE2YWjFvoFq-u4fOXyaNf4dJhEBN2XtIOnNuCFps3gs1xQAKMG8YLL8WLZW7DkIBDFm4WgKp7mSyOaGskPqH4Q1cg%3D%3D,(612) 247-5553,true,,,,,Minneapolis
Avant Hair & Cosmetics,https://avanthair.com/request-appointment/,(612) 333-1376,true,,,info@avanthair.com,,Minneapolis
The Chair Salon,http://chairsalon.com/,(612) 823-2900,true,,,thechairsalonmpls@gmail.com,,Minneapolis
